NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
70.0,Istanbul,Esenyurt,Haramidere,5100000,1.0,1.0,0,1,1,Normal
84.0,Istanbul,Maltepe,Zümrütevler,5550000,2.0,1.0,17,0,0,Normal
239.0,Istanbul,Gaziosmanpaşa,Küçükköy,7500000,3.0,2.0,25,2,0,Dubleks
90.0,Istanbul,Üsküdar,Ferah,4350000,2.0,1.0,26,0,0,Normal
70.0,Istanbul,Kartal,Rahmanlar (Atalar),5100000,1.0,1.0,4,0,0,Normal
60.0,Istanbul,Bayrampaşa,Altıntepsi,2050000,1.0,1.0,25,0,0,Normal
100.0,Istanbul,Esenyurt,Kıraç,1249000,2.0,1.0,30,1,0,Normal
95.0,Istanbul,Çekmeköy,Alemdağ(Alemdar),6750000,2.0,1.0,5,0,1,Normal
55.0,Istanbul,Çekmeköy,Taşdelen,5000000,1.0,1.0,1,0,1,Normal
65.0,Istanbul,Sancaktepe,Samandıra,7200000,1.0,1.0,3,1,1,Normal
105.0,Istanbul,Fatih,Kocamustafapaşa,4000000,2.0,1.0,24,1,0,Normal
130.0,Istanbul,Sultanbeyli,Necipfazıl,2750000,4.0,1.0,28,1,0,Normal
117.0,Istanbul,Beylikdüzü,Gürpınar,4770000,2.0,1.0,10,2,1,Normal
125.0,Istanbul,Silivri,Çanta,3350000,2.0,1.0,25,1,1,Normal
110.0,Istanbul,Sultangazi,Sultançiftliği,3500000,2.0,1.0,27,1,0,Normal
90.0,Istanbul,Ümraniye,Atakent,7775000,2.0,1.0,4,1,1,Normal
85.0,Istanbul,Gaziosmanpaşa,Küçükköy,2450000,2.0,1.0,23,0,0,Normal
125.0,Istanbul,Arnavutköy,Hadımköy(Boyalık),3100000,3.0,1.0,26,1,0,Normal
85.0,Istanbul,Bayrampaşa,Altıntepsi,2950000,2.0,1.0,20,1,0,Normal
100.0,Istanbul,Zeytinburnu,Merkezefendi,4299000,2.0,1.0,22,2,0,Normal
110.0,Istanbul,Kadıköy,Eğitim,5900000,2.0,1.0,29,1,0,Normal
85.0,Istanbul,Beylikdüzü,Kavaklı,5500000,2.0,1.0,0,0,1,Normal
205.0,Istanbul,Ataşehir,Örnek,11250000,3.0,2.0,25,2,0,Dubleks
85.0,Istanbul,Esenyurt,Haramidere,2150000,1.0,1.0,15,0,1,Normal
410.0,Istanbul,Kadıköy,Suadiye,86400000,4.0,1.0,2,1,0,Tripleks
94.0,Istanbul,Avcılar,Ambarlı,2370000,2.0,1.0,28,1,0,Normal
120.0,Istanbul,Büyükçekmece,Kumburgaz,5300000,2.0,1.0,12,1,1,Normal
90.0,Istanbul,Silivri,Çanta,2100000,2.0,1.0,24,0,0,Normal
110.0,Istanbul,Küçükçekmece,Cennet,8250000,3.0,1.0,3,1,1,Normal
155.0,Istanbul,Büyükçekmece,Merkez,6100000,3.0,1.0,23,1,0,Normal
200.0,Istanbul,Esenyurt,Haramidere,3800000,4.0,2.0,20,1,1,Normal
105.0,Istanbul,Esenler,Birlik,6500000,2.0,1.0,3,0,0,Normal
135.0,Istanbul,Küçükçekmece,Merkez,3450000,3.0,1.0,30,3,0,Normal
180.0,Istanbul,Eyüpsultan,Alibeyköy,8000000,4.0,2.0,20,2,0,Normal
130.0,Istanbul,Küçükçekmece,Merkez,5500000,3.0,1.0,18,1,0,Normal
80.0,Istanbul,Güngören,Sanayi,3100000,2.0,1.0,0,1,0,Normal
165.0,Istanbul,Kadıköy,Acıbadem,27000000,3.0,1.0,0,1,1,Normal
79.0,Istanbul,Başakşehir,İkitelli,5150000,2.0,1.0,15,0,0,Normal
123.0,Istanbul,Bağcılar,Demirkapı,4500000,3.0,1.0,8,1,1,Normal
195.0,Istanbul,Eyüpsultan,Yeşilpınar,8500000,4.0,1.0,21,2,0,Dubleks
152.0,Istanbul,Bahçelievler,Yenibosna,12750000,3.0,1.0,2,1,1,Normal
85.0,Istanbul,Başakşehir,İkitelli,4900000,2.0,1.0,15,1,1,Normal
127.0,Istanbul,Sancaktepe,Samandıra,7650000,2.0,1.0,0,2,1,Normal
85.0,Istanbul,Büyükçekmece,Merkez,3350000,1.0,1.0,19,0,0,Normal
100.0,Istanbul,Esenyurt,Haramidere,1750000,2.0,1.0,26,2,0,Normal
115.0,Istanbul,Maltepe,Yalı,4750000,3.0,1.0,28,2,0,Normal
160.0,Istanbul,Kartal,Soğanlık,12500000,4.0,1.0,8,1,0,Normal
160.0,Istanbul,Kartal,Soğanlık,12500000,4.0,1.0,10,1,1,Normal
80.0,Istanbul,Tuzla,Aydınlı,3400000,2.0,1.0,23,0,1,Normal
95.0,Istanbul,Kartal,Rahmanlar (Atalar),8500000,3.0,1.0,3,0,0,Normal
120.0,Istanbul,Zeytinburnu,Beştelsiz,5750000,3.0,1.0,14,2,0,Normal
100.0,Istanbul,Esenyurt,Haramidere,2950000,2.0,1.0,5,1,1,Normal
160.0,Istanbul,Sarıyer,Merkez,6550000,3.0,1.0,26,1,0,Normal
230.0,Istanbul,Arnavutköy,Taşoluk,8000000,4.0,1.0,11,2,0,Dubleks
200.0,Istanbul,Sancaktepe,Sarıgazi,6800000,5.0,2.0,21,2,0,Normal
86.0,Istanbul,Küçükçekmece,Halkalı,7400000,1.0,1.0,0,0,0,Normal
98.0,Istanbul,Gaziosmanpaşa,Fevziçakmak,6100000,2.0,1.0,1,1,1,Normal
180.0,Istanbul,Eyüpsultan,Göktürk,6500000,4.0,2.0,27,1,0,Normal
170.0,Istanbul,Esenyurt,Kıraç,15500000,3.0,1.0,2,2,1,Normal
215.0,Istanbul,Kartal,Rahmanlar (Atalar),9800000,5.0,2.0,26,1,0,Dubleks
80.0,Istanbul,Avcılar,Gümüşpala,3350000,2.0,1.0,9,1,1,Normal
90.0,Istanbul,Şişli,Harbiye,3140000,2.0,0.0,29,1,0,Normal
85.0,Istanbul,Büyükçekmece,Celaliye(Kamiloba),2000000,2.0,1.0,29,1,0,Normal
100.0,Istanbul,Sultanbeyli,Necipfazıl,1800000,2.0,1.0,26,2,0,Normal
218.0,Istanbul,Zeytinburnu,Merkezefendi,24750000,4.0,1.0,0,1,1,Dubleks
75.0,Istanbul,Avcılar,Gümüşpala,1350000,2.0,1.0,27,0,0,Normal
180.0,Istanbul,Güngören,Akıncılar,13000000,4.0,1.0,0,1,0,Dubleks
250.0,Istanbul,Avcılar,Firuzköy,22500000,4.0,1.0,0,1,0,Normal
78.0,Istanbul,Bağcılar,Kirazlı,6499000,2.0,1.0,0,1,0,Normal
